"1","2","3","4","5","6","7","8","9","10","Score","Grade","Acceptability","Learnability","Usability","LTR"
2,2,3,2,2,3,2,3,3,3,62.5,"D","Marginal low",62.5,62.5,6.33
4,4,4,4,4,4,4,4,4,4,100,"A","Acceptable",100,100,9.33
3,4,2,4,3,4,4,4,3,3,85,"B","Acceptable",87.5,84.375,8.13
3,4,4,4,4,4,4,4,4,4,97.5,"A","Acceptable",100,96.875,9.13
2,4,4,4,4,4,4,4,3,4,92.5,"A","Acceptable",100,90.625,8.73
2,3,2,2,3,2,2,2,2,2,55,"F","Marginal low",50,56.25,5.73
3,4,3,4,3,4,3,2,3,3,80,"C","Acceptable",87.5,78.125,7.73
4,4,4,4,4,4,4,4,4,4,100,"A","Acceptable",100,100,9.33
4,4,4,4,4,2,4,4,4,4,95,"A","Acceptable",100,93.75,8.93
4,4,4,4,4,4,4,4,4,4,100,"A","Acceptable",100,100,9.33
2,2,4,4,3,4,4,4,4,3,85,"B","Acceptable",87.5,84.375,8.13
2,4,4,4,2,4,4,4,4,4,90,"B","Acceptable",100,87.5,8.53
2,4,4,4,4,4,4,4,4,4,95,"A","Acceptable",100,93.75,8.93
2,4,4,4,4,4,4,4,4,3,92.5,"A","Acceptable",87.5,93.75,8.73
2,2,2,2,3,4,1,2,2,3,57.5,"F","Marginal low",62.5,56.25,5.93
2,4,3,4,2,4,3,3,2,2,72.5,"C","Acceptable",75,71.875,7.13
2,3,2,4,2,4,2,4,2,4,72.5,"C","Acceptable",100,65.625,7.13
