"1","2","3","4","5","6","7","8","9","10","Score","Grade","Acceptability","Learnability","Usability","LTR"
4,4,4,4,4,3,3,4,3,4,92.5,"A","Acceptable",100,90.625,8.73
2,2,2,3,2,3,2,3,2,3,60,"F","Marginal low",75,56.25,6.13
1,1,1,2,2,3,3,3,2,3,52.5,"F","Marginal low",62.5,50,5.53
3,2,3,3,2,2,3,3,3,3,67.5,"D","Marginal high",75,65.625,6.73
2,2,3,4,2,3,3,3,2,4,70,"D","Marginal high",100,62.5,6.93
2,3,3,3,3,4,3,3,3,2,72.5,"C","Acceptable",62.5,75,7.13
3,4,4,4,4,4,4,4,4,4,97.5,"A","Acceptable",100,96.875,9.13
4,4,4,4,3,4,4,4,4,4,97.5,"A","Acceptable",100,96.875,9.13
4,2,2,3,2,2,3,2,3,2,62.5,"D","Marginal low",62.5,62.5,6.33
3,2,3,3,3,3,3,3,3,3,72.5,"C","Acceptable",75,71.875,7.13
2,4,4,2,2,3,2,4,4,4,77.5,"C","Acceptable",75,78.125,7.53
4,2,2,3,3,4,2,2,2,2,65,"D","Marginal high",62.5,65.625,6.53
4,2,2,3,2,3,3,3,2,2,65,"D","Marginal high",62.5,65.625,6.53
3,2,3,3,2,2,3,3,3,3,67.5,"D","Marginal high",75,65.625,6.73
2,3,2,3,2,3,3,3,2,3,65,"D","Marginal high",75,62.5,6.53
3,3,3,4,2,3,3,3,3,3,75,"C","Acceptable",87.5,71.875,7.33
