"1","2","3","4","5","6","7","8","9","10","Score","Grade","Acceptability","Learnability","Usability","LTR"
2,2,2,3,1,3,1,3,2,3,55,"F","Marginal low",75,50,5.73
2,2,2,0,2,1,2,1,1,0,32.5,"F","Not acceptable",0,40.625,3.93
2,3,2,2,1,3,3,2,0,1,47.5,"F","Not acceptable",37.5,50,5.13
3,3,3,3,3,1,3,3,3,3,70,"D","Marginal high",75,68.75,6.93
2,2,2,0,2,2,2,2,0,2,40,"F","Not acceptable",25,43.75,4.53
4,4,2,4,4,4,4,4,3,4,92.5,"A","Acceptable",100,90.625,8.73
3,4,4,4,4,4,4,4,4,4,97.5,"A","Acceptable",100,96.875,9.13
3,4,3,4,3,4,4,4,3,4,90,"B","Acceptable",100,87.5,8.53
2,3,2,3,2,4,2,3,1,3,62.5,"D","Marginal low",75,59.375,6.33
3,3,3,4,4,4,3,4,4,4,90,"B","Acceptable",100,87.5,8.53
3,4,3,4,2,2,4,4,4,4,85,"B","Acceptable",100,81.25,8.13
4,4,4,4,4,0,4,4,4,4,90,"B","Acceptable",100,87.5,8.53
