"1","2","3","4","5","6","7","8","9","10","Score","Grade","Acceptability","Learnability","Usability","LTR"
2,2,3,3,2,2,3,4,3,2,65,"D","Marginal high",62.5,65.625,6.53
3,4,4,4,2,4,4,4,2,4,87.5,"B","Acceptable",100,84.375,8.33
3,3,3,3,3,1,3,3,3,0,62.5,"D","Marginal low",37.5,68.75,6.33
4,4,4,4,4,4,4,4,4,2,95,"A","Acceptable",75,100,8.93
2,2,2,2,2,2,2,2,2,2,50,"F","Marginal low",50,50,5.33
2,2,2,2,2,2,2,2,2,2,50,"F","Marginal low",50,50,5.33
4,0,4,4,3,2,3,2,4,2,70,"D","Marginal high",75,68.75,6.93
2,2,2,2,3,1,2,2,2,1,47.5,"F","Not acceptable",37.5,50,5.13
2,2,2,2,2,2,1,2,1,2,45,"F","Not acceptable",50,43.75,4.93
3,1,1,3,1,2,2,1,0,1,37.5,"F","Not acceptable",50,34.375,4.33
3,4,4,4,3,1,3,4,4,4,85,"B","Acceptable",100,81.25,8.13
3,4,4,4,2,2,4,3,3,4,82.5,"B","Acceptable",100,78.125,7.93
