"1","2","3","4","5","6","7","8","9","10","Score","Grade","Acceptability","Learnability","Usability","LTR"
2,2,1,2,4,3,2,2,3,2,57.5,"F","Marginal low",50,59.375,5.93
4,4,4,4,3,4,4,4,4,4,97.5,"A","Acceptable",100,96.875,9.13
4,4,4,4,2,2,3,4,4,3,85,"B","Acceptable",87.5,84.375,8.13
2,4,1,3,4,2,3,3,1,3,65,"D","Marginal high",75,62.5,6.53
0,4,4,4,2,2,3,3,1,3,65,"D","Marginal high",87.5,59.375,6.53
3,4,4,4,3,4,4,4,4,4,95,"A","Acceptable",100,93.75,8.93
0,0,0,0,0,0,0,0,0,0,0,"F","Not acceptable",0,0,1.33
2,2,1,4,2,2,2,2,2,2,52.5,"F","Marginal low",75,46.875,5.53
3,4,4,3,4,4,4,4,3,3,90,"B","Acceptable",75,93.75,8.53
2,2,2,4,1,2,2,4,1,2,55,"F","Marginal low",75,50,5.73
4,4,4,4,3,4,4,4,4,4,97.5,"A","Acceptable",100,96.875,9.13
2,3,1,3,2,2,2,3,1,2,52.5,"F","Marginal low",62.5,50,5.53
4,4,4,4,3,4,4,4,4,4,97.5,"A","Acceptable",100,96.875,9.13
3,3,3,4,2,3,3,3,3,3,75,"C","Acceptable",87.5,71.875,7.33
3,2,2,4,1,3,2,3,2,2,60,"F","Marginal low",75,56.25,6.13
4,4,4,3,4,4,4,4,4,4,97.5,"A","Acceptable",87.5,100,9.13
3,0,3,4,3,4,4,4,2,2,72.5,"C","Acceptable",75,71.875,7.13
