"1","2","3","4","5","6","7","8","9","10","Score","Grade","Acceptability","Learnability","Usability","LTR"
4,2,2,2,2,2,2,2,0,2,50,"F","Marginal low",50,50,5.33
3,3,3,3,3,3,3,3,1,3,70,"D","Marginal high",75,68.75,6.93
3,4,4,4,3,4,4,4,4,4,95,"A","Acceptable",100,93.75,8.93
2,2,2,4,1,2,3,2,2,3,57.5,"F","Marginal low",87.5,50,5.93
1,2,2,2,2,3,2,2,3,3,55,"F","Marginal low",62.5,53.125,5.73
3,4,3,3,2,4,3,4,3,2,77.5,"C","Acceptable",62.5,81.25,7.53
2,2,2,2,2,1,1,2,1,2,42.5,"F","Not acceptable",50,40.625,4.73
1,4,4,4,3,4,4,4,3,4,87.5,"B","Acceptable",100,84.375,8.33
4,3,3,3,3,4,3,3,3,4,82.5,"B","Acceptable",87.5,81.25,7.93
4,2,3,2,3,2,3,4,3,1,67.5,"D","Marginal high",37.5,75,6.73
2,2,2,3,2,3,3,2,3,3,62.5,"D","Marginal low",75,59.375,6.33
2,2,4,3,3,4,4,4,3,3,80,"C","Acceptable",75,81.25,7.73
4,2,2,2,2,2,2,2,2,2,55,"F","Marginal low",50,56.25,5.73
4,3,3,4,2,3,4,4,3,4,85,"B","Acceptable",100,81.25,8.13
2,3,4,4,3,1,3,1,3,4,70,"D","Marginal high",100,62.5,6.93
2,4,4,4,2,3,2,4,2,3,75,"C","Acceptable",87.5,71.875,7.33
3,1,2,1,2,2,2,1,1,1,40,"F","Not acceptable",25,43.75,4.53
3,4,4,4,3,3,2,4,4,4,87.5,"B","Acceptable",100,84.375,8.33
4,2,2,3,3,4,4,4,1,3,75,"C","Acceptable",75,75,7.33
