"1","2","3","4","5","6","7","8","9","10","Score","Grade","Acceptability","Learnability","Usability","LTR"
2,3,2,3,3,3,3,3,2,1,62.5,"D","Marginal low",50,65.625,6.33
2,3,3,4,2,3,2,3,3,3,70,"D","Marginal high",87.5,65.625,6.93
3,2,3,3,3,3,2,3,2,2,65,"D","Marginal high",62.5,65.625,6.53
3,3,3,4,2,2,4,4,4,4,82.5,"B","Acceptable",100,78.125,7.93
2,2,4,2,1,3,4,4,1,4,67.5,"D","Marginal high",75,65.625,6.73
4,4,3,4,3,4,3,1,4,1,77.5,"C","Acceptable",62.5,81.25,7.53
3,2,4,0,1,1,4,2,1,2,50,"F","Marginal low",25,56.25,5.33
2,4,0,4,2,2,4,4,4,4,75,"C","Acceptable",100,68.75,7.33
1,2,1,0,2,0,3,2,2,2,37.5,"F","Not acceptable",25,40.625,4.33
3,4,3,4,1,1,4,4,3,4,77.5,"C","Acceptable",100,71.875,7.53
3,4,3,4,4,3,3,1,3,2,75,"C","Acceptable",75,75,7.33
3,1,2,3,1,0,2,2,2,3,47.5,"F","Not acceptable",75,40.625,5.13
4,4,4,4,4,4,4,4,4,4,100,"A","Acceptable",100,100,9.33
4,3,3,3,3,4,4,3,3,4,85,"B","Acceptable",87.5,84.375,8.13
2,2,3,0,4,2,2,2,3,1,52.5,"F","Marginal low",12.5,62.5,5.53
2,4,4,4,2,3,3,4,2,4,80,"C","Acceptable",100,75,7.73
4,4,2,0,1,4,2,3,3,2,62.5,"D","Marginal low",25,71.875,6.33
3,3,3,1,3,2,3,3,3,3,67.5,"D","Marginal high",50,71.875,6.73
