"1","2","3","4","5","6","7","8","9","10","Score","Grade","Acceptability","Learnability","Usability","LTR"
2,2,2,2,2,2,2,2,2,2,50,"F","Marginal low",50,50,5.33
4,4,4,4,4,4,4,4,4,4,100,"A","Acceptable",100,100,9.33
0,2,4,4,4,4,4,4,2,4,80,"C","Acceptable",100,75,7.73
1,3,1,2,1,3,1,1,1,3,42.5,"F","Not acceptable",62.5,37.5,4.73
3,3,3,4,4,4,3,3,2,0,72.5,"C","Acceptable",50,78.125,7.13
0,4,4,4,1,4,4,4,3,4,80,"C","Acceptable",100,75,7.73
3,4,3,4,2,3,2,2,3,2,70,"D","Marginal high",75,68.75,6.93
4,4,4,4,4,4,4,4,4,4,100,"A","Acceptable",100,100,9.33
0,3,3,4,1,3,3,3,1,2,57.5,"F","Marginal low",75,53.125,5.93
1,1,1,4,1,2,2,1,1,2,40,"F","Not acceptable",75,31.25,4.53
2,1,2,4,1,1,1,2,1,3,45,"F","Not acceptable",87.5,34.375,4.93
3,2,2,3,2,1,2,1,2,2,50,"F","Marginal low",62.5,46.875,5.33
